# Aircraft             Segment              Span Fraction        Control (x)          Control (y)          Control (z)          Chord                Swept Chord          Twist                Dihedral             Sweep                Aero Sweep           Area                 Alpha                Flap Defl.           u                    v                    w                    Re                   M                    q                    CL                   Cm                   Parasitic CD         Zero-Lift Alpha      Fx                   Fy                   Fz                   Mx                   My                   Mz                   Circ                 
Horizon              wing_left              7.376241686254e-01  -1.249879859345e+00  -4.051022451021e+00  -2.902325159060e-01   9.664609663878e-01   8.087780578528e-01   0.000000000000e+00   1.430441153867e-01  -5.793286673160e-01  -5.793018818789e-01   1.233935438780e-01   9.770111958984e-02   0.000000000000e+00  -4.986958466646e+01   2.536882992495e-02  -4.098469630273e+00   2.141177928263e+05   3.728386017183e-02   1.774447034197e+00   6.138742391019e-01   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   1.097177632253e-02   1.194273332526e-02  -1.334290611910e-01   5.439902920432e-01  -1.699546624800e-01   2.951993036136e-02   1.033302696612e+01
Horizon              wing_left              7.085718810491e-01  -1.147723647126e+00  -3.892493943608e+00  -2.678556560525e-01   9.750601144642e-01   8.279565579022e-01   0.000000000000e+00   1.374101367928e-01  -5.565110540110e-01  -5.564530674232e-01   1.798953513824e-01   9.609799679767e-02   0.000000000000e+00  -4.987242024655e+01   2.389646985848e-02  -4.089773880346e+00   2.225363391170e+05   3.785217697176e-02   1.828955013130e+00   6.038015215285e-01   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   1.618472658848e-02   1.709374539734e-02  -1.972634745656e-01   7.724255364295e-01  -2.307391250316e-01   4.338005441414e-02   1.056326295820e+01
Horizon              wing_left              6.723442710000e-01  -1.027420620887e+00  -3.694639613541e+00  -2.412040084502e-01   9.857830767249e-01   8.515408074099e-01   0.000000000000e+00   1.303846803986e-01  -5.280579556142e-01  -5.279895132459e-01   2.018645801988e-01   9.412867618793e-02   0.000000000000e+00  -4.987599107272e+01   2.238484174343e-02  -4.074558298067e+00   2.329845471215e+05   3.853178470547e-02   1.895219645249e+00   5.914279152083e-01   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   1.836878617354e-02   1.866322575570e-02  -2.247467270963e-01   8.348598058064e-01  -2.353400467509e-01   4.869106205575e-02   1.083275773772e+01
Horizon              wing_left              6.361166609509e-01  -9.147328724354e-01  -3.496602927757e+00  -2.159430241023e-01   9.965060389855e-01   8.747297499314e-01   0.000000000000e+00   1.233592240043e-01  -4.996048572174e-01  -4.995530833212e-01   1.838520532003e-01   9.225032220271e-02   0.000000000000e+00  -4.987954607588e+01   2.142299350988e-02  -4.057261043889e+00   2.433480584069e+05   3.917882987763e-02   1.959405044092e+00   5.796258690467e-01   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   1.688286519262e-02   1.645925137968e-02  -2.074692845067e-01   7.289919681433e-01  -1.934247115241e-01   4.397685756878e-02   1.108895846088e+01
Horizon              wing_left              6.070643733746e-01  -8.297032094633e-01  -3.337664676243e+00  -1.966909144850e-01   1.005105187062e+00   8.930198386833e-01   0.000000000000e+00   1.177252454105e-01  -4.767872439124e-01  -4.767653762271e-01   1.283274703429e-01   9.083158099547e-02   0.000000000000e+00  -4.988242842309e+01   2.101082211029e-02  -4.043117667401e+00   2.515760387219e+05   3.967396816315e-02   2.009243538790e+00   5.707116551386e-01   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   1.185864666346e-02   1.115630252260e-02  -1.462494389082e-01   4.903259295096e-01  -1.236761169011e-01   3.032376606794e-02   1.128765840996e+01
Horizon              wing_left              5.909415701283e-01  -7.845192672517e-01  -3.249414566997e+00  -1.863932518778e-01   1.009877354216e+00   9.030484617069e-01   0.000000000000e+00   1.145986231738e-01  -4.641244238540e-01  -4.641196822086e-01   4.601699684359e-02   9.009019231200e-02   0.000000000000e+00  -4.988417149797e+01   2.089081757526e-02  -4.035825526493e+00   2.561056315484e+05   3.993976857850e-02   2.036256050185e+00   5.660533726557e-01   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   4.267087972828e-03   3.930719845278e-03  -5.272230696929e-02   1.720492919259e-01  -4.215702203467e-02   1.078181236477e-02   1.139713052113e+01
Horizon              wing_left              5.868265433136e-01  -7.732130623294e-01  -3.226885348418e+00  -1.838091804881e-01   1.012348275071e+00   9.067177596296e-01   0.000000000000e+00   1.138006146547e-01  -4.608924893514e-01  -4.608879757586e-01   4.467917685801e-02   8.972465770654e-02   0.000000000000e+00  -4.988460013575e+01   1.992342472904e-02  -4.025911784443e+00   2.575725304122e+05   4.000597831963e-02   2.043012811128e+00   5.637566509935e-01   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   4.129944341741e-03   3.770830330073e-03  -5.115499425800e-02   1.657644147023e-01  -4.031283144859e-02   1.041120161911e-02   1.141528846831e+01
Horizon              wing_left              5.711168550788e-01  -7.308877096909e-01  -3.140858144089e+00  -1.741094799703e-01   1.017026101405e+00   9.164252896628e-01   0.000000000000e+00   1.107541059418e-01  -4.485541290642e-01  -4.485350166788e-01   1.278234567622e-01   8.903721855872e-02   0.000000000000e+00  -4.988595041047e+01   1.966772311861e-02  -4.018811460482e+00   2.619658152457e+05   4.025733578135e-02   2.068765949984e+00   5.594373434403e-01   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   1.185290687823e-02   1.058781357692e-02  -1.470796259973e-01   4.637996798592e-01  -1.095623944401e-01   2.948979628375e-02   1.152111597531e+01
Horizon              wing_left              5.420891362344e-01  -6.561306695686e-01  -2.981824495496e+00  -1.568764887693e-01   1.025669597417e+00   9.341234679233e-01   0.000000000000e+00   1.051248918509e-01  -4.257558119962e-01  -4.257118050625e-01   1.929271526504e-01   8.781115858182e-02   0.000000000000e+00  -4.988864855426e+01   1.916802692751e-02  -4.005218194976e+00   2.699954305675e+05   4.070517293288e-02   2.115049362786e+00   5.517337814077e-01   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   1.798031013293e-02   1.539350533194e-02  -2.238875053345e-01   6.700081267084e-01  -1.497201467038e-01   4.351397823054e-02   1.171086503867e+01
Horizon              wing_left              5.041625938373e-01  -5.650686495673e-01  -2.773895418684e+00  -1.357099559633e-01   1.036962869195e+00   9.567494653033e-01   0.000000000000e+00   9.776996919840e-02  -3.959683752535e-01  -3.959104629918e-01   2.300788169901e-01   8.633858878028e-02   0.000000000000e+00  -4.989229818636e+01   1.897545499170e-02  -3.988660617021e+00   2.802858782601e+05   4.125726758810e-02   2.172812360518e+00   5.424813524669e-01   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   2.157406397853e-02   1.738439544724e-02  -2.697772158663e-01   7.506930186974e-01  -1.553704623260e-01   5.002082037354e-02   1.195345661684e+01
Horizon              wing_left              4.631112001627e-01  -4.747426571428e-01  -2.548665849084e+00  -1.145236260305e-01   1.049186618482e+00   9.805661003140e-01   0.000000000000e+00   8.980905828557e-02  -3.637266860566e-01  -3.636734203240e-01   2.327909929598e-01   8.492654655252e-02   0.000000000000e+00  -4.989626698645e+01   1.951245804577e-02  -3.973489149350e+00   2.911273834260e+05   4.181226123136e-02   2.231662982260e+00   5.336092294883e-01   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   2.197400943345e-02   1.645495567631e-02  -2.758532673988e-01   7.049422831676e-01  -1.334758563852e-01   4.819253802953e-02   1.221285509064e+01
