# Aircraft             Segment              Span Fraction        Control (x)          Control (y)          Control (z)          Chord                Twist                Dihedral             Sweep                Aero Sweep           Area                 Alpha                Flap Defl.           u                    v                    w                    Re                   M                    q                    CL                   Cm                   Parasitic CD         Zero-Lift Alpha      Fx                   Fy                   Fz                   Mx                   My                   Mz                   
V0                   main_wing_left         2.222148834902e-01  -7.796206244611e-02  -8.885844548805e-01  -1.914890446825e-02   1.214503375463e+00   0.000000000000e+00   4.309312626488e-02  -1.745271613728e-01  -1.745097846033e-01   1.610275278255e-01   1.312053750756e+01   0.000000000000e+00  -6.844359352472e+01   5.040815541443e-01  -1.569541121731e+01   5.343689487947e+05   6.196407357033e-02   4.901186417292e+00   1.236300000000e+00   1.269604363822e-02   2.684926516760e-02   0.000000000000e+00   1.674273988665e-01   2.332659043631e-03  -8.277158055184e-01   7.340238395886e-01   3.854639587385e+00   1.593937165223e-01
V0                   main_wing_left         1.904530253451e-01  -5.719022929203e-02  -7.616389155071e-01  -1.406666797213e-02   1.285025047953e+00   0.000000000000e+00   3.693369291840e-02  -1.495814563195e-01  -1.495681980197e-01   1.602657597925e-01   1.278434404153e+01   0.000000000000e+00  -6.857620602101e+01   5.080720654407e-01  -1.537522245274e+01   5.682185565859e+05   6.227321566827e-02   4.950212976681e+00   1.236300000000e+00   1.232038854669e-02   2.684926516760e-02   0.000000000000e+00   1.605464303294e-01   2.699704274709e-03  -8.154706951110e-01   6.186530915267e-01   3.807565778803e+00   1.344520105664e-01
V0                   main_wing_left         1.605996272335e-01  -4.062224450795e-02  -6.422946626423e-01  -1.000273618893e-02   1.443396960520e+00   0.000000000000e+00   3.114435858556e-02  -1.261346522715e-01  -1.261248850999e-01   1.677816032140e-01   1.182790507679e+01   0.000000000000e+00  -6.871830886170e+01   4.550155978303e-01  -1.426870326567e+01   6.394190101585e+05   6.238744936224e-02   4.968390928987e+00   1.236300000000e+00   1.136164733795e-02   2.683361427837e-02   0.000000000000e+00   1.428986366757e-01   3.974705864238e-03  -7.997936869410e-01   5.086335905493e-01   3.721671429899e+00   1.094202337949e-01
V0                   main_wing_left         1.328387452822e-01  -2.776891220687e-02  -5.312962134763e-01  -6.843690586190e-03   1.687569704872e+00   0.000000000000e+00   2.576081643769e-02  -1.043313065726e-01  -1.043243995145e-01   1.808755723422e-01   1.052874142225e+01   0.000000000000e+00  -6.884007655067e+01   3.669980538348e-01  -1.271972553767e+01   7.474772379670e+05   6.237832729119e-02   4.966938114292e+00   1.236300000000e+00   1.008820988236e-02   2.238163793711e-02   0.000000000000e+00   1.224298785526e-01   5.054743812655e-03  -7.742808266291e-01   4.040585192256e-01   3.584814855885e+00   8.733339118763e-02
V0                   main_wing_left         1.073415345596e-01  -1.812051782279e-02  -4.293351303319e-01  -4.468736744270e-03   1.960533418310e+00   0.000000000000e+00   2.081625780232e-02  -8.430584409940e-02  -8.430119140485e-02   1.912863970257e-01   9.376005006550e+00   0.000000000000e+00  -6.892914149909e+01   2.798252218279e-01  -1.133778566212e+01   8.680785504786e+05   6.235657437749e-02   4.963474522312e+00   1.236300000000e+00   8.966704763998e-03   1.886466531093e-02   0.000000000000e+00   1.025280778110e-01   5.142779987794e-03  -7.343132293708e-01   3.075413601237e-01   3.383173959731e+00   6.666783376593e-02
V0                   main_wing_left         8.426519384873e-02  -1.116178407422e-02  -3.370457744944e-01  -2.753922015540e-03   2.214665722919e+00   0.000000000000e+00   1.634116752768e-02  -6.618172848712e-02  -6.617877445950e-02   1.936453713713e-01   8.515674274486e+00   0.000000000000e+00  -6.898878801297e+01   2.066888750220e-01  -1.030512224802e+01   9.804561713065e+05   6.234727454091e-02   4.961994131181e+00   1.236300000000e+00   8.132812711917e-03   1.650528002339e-02   0.000000000000e+00   8.531335807082e-02   4.420015822745e-03  -6.788554099843e-01   2.221454425734e-01   3.116184902722e+00   4.823282886838e-02
V0                   main_wing_left         6.375199646360e-02  -6.386883700176e-03  -2.550014896975e-01  -1.576329131097e-03   2.420713685352e+00   0.000000000000e+00   1.236313603344e-02  -5.007070093543e-02  -5.006895937220e-02   1.859810138860e-01   7.930814833379e+00   0.000000000000e+00  -6.902665797571e+01   1.487048853821e-01  -9.602861509309e+00   1.071671805911e+06   6.234704187516e-02   4.961957097200e+00   1.236300000000e+00   7.567151250998e-03   1.503090816673e-02   0.000000000000e+00   7.078087553627e-02   3.323128726297e-03  -6.096415100345e-01   1.505388943859e-01   2.791590527607e+00   3.271320908933e-02
V0                   main_wing_left         4.592841308746e-02  -3.314186646903e-03  -1.837112233860e-01  -8.181347937291e-04   2.569113255248e+00   0.000000000000e+00   8.906689206580e-03  -3.607209128665e-02  -3.607115862855e-02   1.690189085809e-01   7.558864811182e+00   0.000000000000e+00  -6.904953010737e+01   1.033335884536e-01  -9.156118467675e+00   1.137416797102e+06   6.234962712911e-02   4.962368606222e+00   1.236300000000e+00   7.207907193554e-03   1.414780925320e-02   0.000000000000e+00   5.822844570946e-02   2.209814731700e-03  -5.294808978675e-01   9.412649633659e-02   2.420798165436e+00   2.046651633688e-02
V0                   main_wing_left         3.090433203876e-02  -1.500379934828e-03  -1.236165881481e-01  -3.704266946785e-04   2.663226651685e+00   0.000000000000e+00   5.993137191177e-03  -2.427220562427e-02  -2.427176720198e-02   1.447995850278e-01   7.341062889461e+00   0.000000000000e+00  -6.906243431572e+01   6.796848247411e-02  -8.894465558076e+00   1.179130300207e+06   6.235210851462e-02   4.962763597985e+00   1.236300000000e+00   6.997725347911e-03   1.365038358264e-02   0.000000000000e+00   4.693493356217e-02   1.285595950642e-03  -4.412618791070e-01   5.285699359510e-02   2.015661427712e+00   1.150133728641e-02
V0                   main_wing_left         1.877238177318e-02  -5.535723220974e-04  -7.508936123475e-02  -1.366794208497e-04   2.714757547213e+00   0.000000000000e+00   3.640443004259e-03  -1.474379416725e-02  -1.474362333231e-02   1.157340278695e-01   7.226938949798e+00   0.000000000000e+00  -6.906897837613e+01   4.077720682994e-02  -8.757333597518e+00   1.201972861482e+06   6.235353586281e-02   4.962990813163e+00   1.236300000000e+00   6.887658408344e-03   1.339554858654e-02   0.000000000000e+00   3.630378264797e-02   6.303217003140e-04  -3.475075187493e-01   2.540284704804e-02   1.586657153724e+00   5.534819325717e-03
V0                   main_wing_left         9.607359798385e-03  -1.449880167025e-04  -3.842941696092e-02  -3.579916022531e-05   2.738335787948e+00   0.000000000000e+00   1.863111787839e-03  -7.545602740750e-03  -7.545553108856e-03   8.389634480654e-02   7.175394597975e+00   0.000000000000e+00  -6.907176558654e+01   2.075003646134e-02  -8.695353131756e+00   1.212419008216e+06   6.235388349546e-02   4.963046152525e+00   1.236300000000e+00   6.837985303894e-03   1.328176063660e-02   0.000000000000e+00   2.592440096024e-02   2.384712973287e-04  -2.502096738338e-01   9.478285386630e-03   1.142167134481e+00   2.071634300154e-03
V0                   main_wing_left         3.465771522537e-03  -1.886775686335e-05  -1.386308504644e-02  -4.658699469994e-06   2.746748667884e+00   0.000000000000e+00   6.721013798903e-04  -2.722010588556e-03  -2.722002076714e-03   5.069963703954e-02   7.156572553825e+00   0.000000000000e+00  -6.907265092215e+01   7.469754013086e-03  -8.672672381265e+00   1.216138878537e+06   6.235362732663e-02   4.963005373186e+00   1.236300000000e+00   6.819879445761e-03   1.324041259757e-02   0.000000000000e+00   1.557988130919e-02   5.553068877907e-05  -1.508270178954e-01   2.155964819286e-03   6.884430104875e-01   4.762777970709e-04
V0                   main_wing_left         3.854818796385e-04  -2.334144936265e-07  -1.541927517118e-03  -5.763320739553e-08   2.749350842425e+00   0.000000000000e+00   7.475475562744e-05  -3.027567602911e-04  -3.027581663898e-04   1.695066297235e-02   7.150139753429e+00   0.000000000000e+00  -6.907284764443e+01   8.302482944958e-04  -8.664866751184e+00   1.217281724670e+06   6.235315188692e-02   4.962929688708e+00   1.236300000000e+00   6.813724357141e-03   1.322630600103e-02   0.000000000000e+00   5.198894156457e-03   3.707340605990e-06  -5.038271768365e-02   1.242601009640e-04   2.299614622159e-01   2.969615684800e-05
V0                   main_wing_right        3.854818796385e-04  -2.334144936265e-07   1.541927517118e-03  -5.763320739553e-08   2.749350842425e+00   0.000000000000e+00  -7.475475562744e-05   3.027567602911e-04   3.027581663897e-04   1.695066297235e-02   7.150139753429e+00   0.000000000000e+00  -6.907284764443e+01  -8.302482944967e-04  -8.664866751183e+00   1.217281724670e+06   6.235315188692e-02   4.962929688708e+00   1.236300000000e+00   6.813724357140e-03   1.322630600103e-02   0.000000000000e+00   5.198894156457e-03  -3.707340605991e-06  -5.038271768365e-02  -1.775103578074e-05   2.299614622159e-01  -1.870569460125e-05
V0                   main_wing_right        3.465771522537e-03  -1.886775686335e-05   1.386308504644e-02  -4.658699469994e-06   2.746748667884e+00   0.000000000000e+00  -6.721013798903e-04   2.722010588556e-03   2.722002076714e-03   5.069963703954e-02   7.156572553825e+00   0.000000000000e+00  -6.907265092215e+01  -7.469754013086e-03  -8.672672381265e+00   1.216138878537e+06   6.235362732663e-02   4.963005373186e+00   1.236300000000e+00   6.819879445761e-03   1.324041259757e-02   0.000000000000e+00   1.557988130919e-02  -5.553068877907e-05  -1.508270178954e-01  -1.837116503455e-03   6.884430104875e-01  -4.433419279833e-04
V0                   main_wing_right        9.607359798385e-03  -1.449880167025e-04   3.842941696092e-02  -3.579916022531e-05   2.738335787948e+00   0.000000000000e+00  -1.863111787839e-03   7.545602740750e-03   7.545553108856e-03   8.389634480654e-02   7.175394597975e+00   0.000000000000e+00  -6.907176558654e+01  -2.075003646134e-02  -8.695353131756e+00   1.212419008216e+06   6.235388349546e-02   4.963046152525e+00   1.236300000000e+00   6.837985303894e-03   1.328176063660e-02   0.000000000000e+00   2.592440096024e-02  -2.384712973287e-04  -2.502096738338e-01  -8.949342136145e-03   1.142167134481e+00  -2.016830116524e-03
V0                   main_wing_right        1.877238177318e-02  -5.535723220974e-04   7.508936123475e-02  -1.366794208497e-04   2.714757547213e+00   0.000000000000e+00  -3.640443004259e-03   1.474379416725e-02   1.474362333231e-02   1.157340278695e-01   7.226938949798e+00   0.000000000000e+00  -6.906897837613e+01  -4.077720682994e-02  -8.757333597518e+00   1.201972861482e+06   6.235353586281e-02   4.962990813163e+00   1.236300000000e+00   6.887658408344e-03   1.339554858654e-02   0.000000000000e+00   3.630378264797e-02  -6.303217003140e-04  -3.475075187493e-01  -2.466821615340e-02   1.586657153724e+00  -5.458073129199e-03
V0                   main_wing_right        3.090433203876e-02  -1.500379934828e-03   1.236165881481e-01  -3.704266946785e-04   2.663226651685e+00   0.000000000000e+00  -5.993137191177e-03   2.427220562427e-02   2.427176720198e-02   1.447995850278e-01   7.341062889460e+00   0.000000000000e+00  -6.906243431572e+01  -6.796848247411e-02  -8.894465558076e+00   1.179130300207e+06   6.235210851462e-02   4.962763597985e+00   1.236300000000e+00   6.997725347911e-03   1.365038358264e-02   0.000000000000e+00   4.693493356217e-02  -1.285595950642e-03  -4.412618791070e-01  -5.192416598267e-02   2.015661427712e+00  -1.140211683686e-02
