# Aircraft             Segment              Span Fraction        Control (x)          Control (y)          Control (z)          Chord                Swept Chord          Twist                Dihedral             Sweep                Aero Sweep           Area                 Alpha                Flap Defl.           u                    v                    w                    Re                   M                    q                    CL                   Cm                   Parasitic CD         Zero-Lift Alpha      Fx                   Fy                   Fz                   Mx                   My                   Mz                   Circ                 
Horizon              wing_left              3.628005146622e-01  -2.887842198888e-01  -1.997657945120e+00  -7.030287444520e-02   1.083868989220e+00   1.040196887599e+00   0.000000000000e+00   7.035626120872e-02  -2.849428578953e-01  -2.848379072172e-01   3.483049123392e-01   8.243189287465e-02   0.000000000000e+00  -4.990896482042e+01   2.680419506572e-02  -3.958551791723e+00   3.174916702338e+05   4.298473548056e-02   2.358575682259e+00   5.179348581530e-01   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   3.361769949652e-02   1.925934547016e-02  -4.237176721470e-01   8.477969615986e-01  -1.247263983109e-01   6.159486943870e-02   1.292636215727e+01
Horizon              wing_left              2.617980779447e-01  -1.493786471084e-01  -1.442086977711e+00  -3.661474965213e-02   1.110425136697e+00   1.087062892039e+00   0.000000000000e+00   5.076931595032e-02  -2.056157295988e-01  -2.054906286351e-01   7.136776376911e-01   8.273972304856e-02   0.000000000000e+00  -4.991218053132e+01   3.562313443561e-02  -4.048466363067e+00   3.387414474089e+05   4.388449862023e-02   2.458349247096e+00   5.198690121789e-01   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   7.371926738151e-02   3.076159799324e-02  -9.085893836735e-01   1.311391246491e+00  -1.384230654299e-01   1.017144696062e-01   1.384459875097e+01
Horizon              wing_left              1.607956412273e-01  -5.610193190049e-02  -8.859627735931e-01  -1.381432918319e-02   1.136981284174e+00   1.127935993469e+00   0.000000000000e+00   3.118237069191e-02  -1.262886013022e-01  -1.262228394517e-01   3.653727253519e-01   8.916077465123e-02   0.000000000000e+00  -4.996893339636e+01   7.715064562480e-02  -4.429742701898e+00   3.569764962557e+05   4.457102687450e-02   2.535867625966e+00   5.602136692654e-01   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   4.584126260772e-02   1.116087977516e-02  -5.169099162325e-01   4.581171231503e-01  -2.963291121100e-02   3.998750524785e-02   1.572235878897e+01
Horizon              wing_left              1.066095932001e-01  -2.462476873058e-02  -5.874581486350e-01  -6.072863931584e-03   1.947916666667e+00   1.941098185024e+00   0.000000000000e+00   2.067431572837e-02  -8.373097869989e-02  -8.369517347150e-02   8.278645833333e-01   5.718355318480e-02   0.000000000000e+00  -4.999859543166e+01   1.543569142389e-02  -2.851016326547e+00   6.160610043198e+05   4.469651773313e-02   2.550167327719e+00   3.592948611830e-01   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   4.318158511148e-02   1.203110224042e-02  -7.572151992268e-01   4.449053023029e-01  -1.890848505098e-02   2.507111093447e-02   1.740146599066e+01
Horizon              wing_left              3.402433825534e-02  -2.505546921015e-03  -1.874986395012e-01  -6.185776811757e-04   2.750000000000e+00   2.749016107357e+00   0.000000000000e+00   6.598185870756e-03  -2.672265277656e-02  -2.675071884745e-02   1.031250000000e+00   4.330129598604e-02   0.000000000000e+00  -5.000435623380e+01  -1.813640192767e-04  -2.165124484464e+00   8.747750996994e+05   4.481429832157e-02   2.563625018205e+00   2.720700667213e-01   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   3.111436353654e-02   3.909634294140e-03  -7.185981399686e-01   1.347385920047e-01  -1.819728007893e-03   5.824105059879e-03   1.871058067762e+01
Horizon              wing_right             3.402433825534e-02  -2.505546921015e-03   1.874986395012e-01  -6.185776811757e-04   2.750000000000e+00   2.749016107357e+00   0.000000000000e+00  -6.598185870756e-03   2.672265277656e-02   2.675071884745e-02   1.031250000000e+00   4.330129598604e-02   0.000000000000e+00  -5.000435623380e+01   1.813640192768e-04  -2.165124484464e+00   8.747750996994e+05   4.481429832157e-02   2.563625018205e+00   2.720700667213e-01   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   3.111436353654e-02  -3.909634294140e-03  -7.185981399686e-01  -1.347385920047e-01  -1.819728007893e-03  -5.824105059879e-03   1.871058067762e+01
Horizon              wing_right             1.066095932001e-01  -2.462476873058e-02   5.874581486350e-01  -6.072863931584e-03   1.947916666667e+00   1.941098185024e+00   0.000000000000e+00  -2.067431572837e-02   8.373097869989e-02   8.369517347150e-02   8.278645833333e-01   5.718355318480e-02   0.000000000000e+00  -4.999859543166e+01  -1.543569142389e-02  -2.851016326547e+00   6.160610043198e+05   4.469651773313e-02   2.550167327719e+00   3.592948611830e-01   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   4.318158511148e-02  -1.203110224042e-02  -7.572151992268e-01  -4.449053023029e-01  -1.890848505098e-02  -2.507111093447e-02   1.740146599066e+01
Horizon              wing_right             1.607956412273e-01  -5.610193190049e-02   8.859627735931e-01  -1.381432918319e-02   1.136981284174e+00   1.127935993469e+00   0.000000000000e+00  -3.118237069191e-02   1.262886013022e-01   1.262228394517e-01   3.653727253519e-01   8.916077465123e-02   0.000000000000e+00  -4.996893339636e+01  -7.715064562480e-02  -4.429742701898e+00   3.569764962557e+05   4.457102687450e-02   2.535867625966e+00   5.602136692654e-01   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   4.584126260772e-02  -1.116087977516e-02  -5.169099162325e-01  -4.581171231503e-01  -2.963291121100e-02  -3.998750524785e-02   1.572235878897e+01
Horizon              wing_right             2.617980779447e-01  -1.493786471084e-01   1.442086977711e+00  -3.661474965213e-02   1.110425136697e+00   1.087062892039e+00   0.000000000000e+00  -5.076931595032e-02   2.056157295988e-01   2.054906286351e-01   7.136776376911e-01   8.273972304857e-02   0.000000000000e+00  -4.991218053132e+01  -3.562313443561e-02  -4.048466363067e+00   3.387414474089e+05   4.388449862023e-02   2.458349247096e+00   5.198690121789e-01   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   7.371926738151e-02  -3.076159799324e-02  -9.085893836735e-01  -1.311391246491e+00  -1.384230654299e-01  -1.017144696062e-01   1.384459875097e+01
Horizon              wing_right             3.628005146622e-01  -2.887842198888e-01   1.997657945120e+00  -7.030287444520e-02   1.083868989220e+00   1.040196887599e+00   0.000000000000e+00  -7.035626120872e-02   2.849428578953e-01   2.848379072172e-01   3.483049123392e-01   8.243189287465e-02   0.000000000000e+00  -4.990896482042e+01  -2.680419506572e-02  -3.958551791723e+00   3.174916702338e+05   4.298473548056e-02   2.358575682259e+00   5.179348581530e-01   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   3.361769949652e-02  -1.925934547016e-02  -4.237176721470e-01  -8.477969615986e-01  -1.247263983109e-01  -6.159486943870e-02   1.292636215727e+01
