# Aircraft             Segment              Span Fraction        Control (x)          Control (y)          Control (z)          Chord                Swept Chord          Twist                Dihedral             Sweep                Aero Sweep           Area                 Alpha                Flap Defl.           u                    v                    w                    Re                   M                    q                    CL                   Cm                   Parasitic CD         Zero-Lift Alpha      Fx                   Fy                   Fz                   Mx                   My                   Mz                   Circ                 
Horizon              wing_left              9.998458666867e-01  -2.430890879891e+00  -5.319178660388e+00  -7.835518865610e-01   2.312827331269e-01   1.635624849018e-01   0.000000000000e+00   1.307248352023e+00  -7.852771073762e-01  -7.852703838414e-01   7.845875139935e-04   2.709868815671e-02   0.000000000000e+00  -4.990457533269e+01  -1.971700353690e-01  -4.107417975226e+00   3.377162092776e+04   2.907807677643e-02   1.079326045518e+00   1.702660792701e-01   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   2.784744879323e-06   1.383598664776e-04  -4.047601957783e-05   3.237113139987e-04  -1.005747789498e-04  -3.215251820265e-04   4.520247338409e-01
Horizon              wing_left              9.986184960199e-01  -2.424135285059e+00  -5.317371246763e+00  -7.770341581177e-01   2.396948943886e-01   1.696639117567e-01   0.000000000000e+00   1.293324273492e+00  -7.843131327087e-01  -7.843708691538e-01   2.419351220446e-03   7.340146102584e-02   0.000000000000e+00  -4.991003161073e+01   1.206849982625e+00  -4.490635199272e+00   3.517634404454e+04   2.919837603507e-02   1.088275104274e+00   4.611949814431e-01   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   6.320752955971e-05   1.146741278030e-03  -3.943195179119e-04   2.987800410135e-03  -1.004998266476e-03  -2.443758094646e-03   1.275245149172e+00
Horizon              wing_left              9.961939766256e-01  -2.410828655437e+00  -5.313535098051e+00  -7.642362044327e-01   2.563120815836e-01   1.817514745046e-01   0.000000000000e+00   1.265818973456e+00  -7.824089196293e-01  -7.825721432376e-01   4.240954581667e-03   1.054195076849e-01   0.000000000000e+00  -4.992444108354e+01   2.110245818075e+00  -4.794867631641e+00   3.792203707722e+04   2.938401848776e-02   1.102157541437e+00   6.623703017760e-01   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   2.314407755730e-04   2.865812174523e-03  -1.148516211669e-03   8.292838620256e-03  -2.945751214199e-03  -5.679213427313e-03   1.974443969897e+00
Horizon              wing_left              9.926320082177e-01  -2.391370988277e+00  -5.307264377457e+00  -7.456370259815e-01   2.807251244136e-01   1.995871352317e-01   0.000000000000e+00   1.225409723686e+00  -7.796113561837e-01  -7.799197456675e-01   6.341927427274e-03   1.240414711484e-01   0.000000000000e+00  -4.993760976231e+01   2.533951833607e+00  -5.032962858937e+00   4.192989765724e+04   2.958616880088e-02   1.117374512856e+00   7.793755490007e-01   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   4.865848123388e-04   4.990441946812e-03  -2.315404122745e-03   1.600952011162e-02  -5.899805897629e-03  -9.351563849147e-03   2.568812746218e+00
Horizon              wing_left              9.880202982800e-01  -2.366340180448e+00  -5.298038710572e+00  -7.219597632294e-01   3.123328927420e-01   2.228160572608e-01   0.000000000000e+00   1.173091534022e+00  -7.759893276685e-01  -7.764683085100e-01   8.770351970059e-03   1.331677470485e-01   0.000000000000e+00  -4.994225368811e+01   2.605352527093e+00  -5.208731694501e+00   4.714196660203e+04   2.979604926666e-02   1.133283763876e+00   8.367176316456e-01   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   7.889249293153e-04   7.294242865866e-03  -3.915850551192e-03   2.601247765741e-02  -9.835806555091e-03  -1.308090516420e-02   3.100767320808e+00
Horizon              wing_left              9.824724024165e-01  -2.336467405843e+00  -5.285318717910e+00  -6.941639097316e-01   3.503570984125e-01   2.509658575958e-01   0.000000000000e+00   1.110152651928e+00  -7.716320204466e-01  -7.722902488776e-01   1.151890826127e-02   1.365614716559e-01   0.000000000000e+00  -4.994055492371e+01   2.456464454576e+00  -5.323876816311e+00   5.350477011573e+04   3.002446883833e-02   1.150726105264e+00   8.580410322351e-01   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   1.110782808651e-03   9.605744958849e-03  -5.987542520697e-03   3.831403203544e-02  -1.476076327802e-02  -1.657266883509e-02   3.609194940370e+00
Horizon              wing_left              9.761249282358e-01  -2.302607201488e+00  -5.268655268025e+00  -6.634171993213e-01   3.938614592862e-01   2.834486885212e-01   0.000000000000e+00   1.038142841563e+00  -7.666467258829e-01  -7.674752192583e-01   1.451991772308e-02   1.367266103136e-01   0.000000000000e+00  -4.993587178259e+01   2.183443984178e+00  -5.378861967685e+00   6.094571873524e+04   3.028072186229e-02   1.170452376195e+00   8.590786290231e-01   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   1.434299242231e-03   1.175029745417e-02  -8.545834982465e-03   5.282040792828e-02  -2.062923995963e-02  -1.949949127911e-02   4.116384522495e+00
Horizon              wing_left              9.691341716183e-01  -2.265704317578e+00  -5.247796961310e+00  -6.310400173657e-01   4.417747536157e-01   3.195655040260e-01   0.000000000000e+00   9.588352234447e-01  -7.611561984747e-01  -7.621292088458e-01   1.764700961980e-02   1.350903694702e-01   0.000000000000e+00  -4.993029695720e+01   1.850328642953e+00  -5.373761161962e+00   6.936338406498e+04   3.056805833391e-02   1.192770821090e+00   8.487978245965e-01   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   1.743194498035e-03   1.352857758532e-02  -1.153864164552e-02   6.908952239938e-02  -2.724317568155e-02  -2.150382585598e-02   4.629181862277e+00
Horizon              wing_left              9.616722681928e-01  -2.226759432499e+00  -5.222778582095e+00  -5.984211782007e-01   4.929171970797e-01   3.585133798206e-01   0.000000000000e+00   8.741826143386e-01  -7.552956332289e-01  -7.563731870975e-01   2.072336943371e-02   1.324264194838e-01   0.000000000000e+00  -4.992475710664e+01   1.500661898130e+00  -5.310928080486e+00   7.862250507326e+04   3.088438672053e-02   1.217584927080e+00   8.320597331830e-01   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   2.019199665802e-03   1.473616248280e-02  -1.481738297145e-02   8.620634214109e-02  -3.420307913965e-02  -2.226805603989e-02   5.143969152281e+00
Horizon              wing_left              9.539229547864e-01  -2.186795681460e+00  -5.193974674037e+00  -5.669117390243e-01   5.460294929879e-01   3.993966885876e-01   0.000000000000e+00   7.862694424267e-01  -7.492093367119e-01  -7.503411929276e-01   2.353586322643e-02   1.291645452178e-01   0.000000000000e+00  -4.991938695888e+01   1.165065850031e+00  -5.196936152407e+00   8.855033226365e+04   3.122361679625e-02   1.244479411166e+00   8.115647727208e-01   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   2.242608005515e-03   1.520614356714e-02  -1.813250259001e-02   1.028003005229e-01  -4.092343916225e-02  -2.160467989984e-02   5.651098414906e+00
