# alpha                     Rey                       Mach                      CL                        CD                        Cm                       
        -2.0943951024E-01          4.7145860000E+06          0.0000000000E+00         -1.3373000000E+00          1.1930000000E-02         -5.3000000000E-03
        -2.0943951024E-01          4.7145860000E+06          4.7368421053E-02         -1.3400000000E+00          1.1980000000E-02         -5.6000000000E-03
        -2.0943951024E-01          4.7145860000E+06          9.4736842105E-02         -1.3480000000E+00          1.2110000000E-02         -6.5000000000E-03
        -2.0943951024E-01          4.7145860000E+06          1.4210526316E-01         -1.3616000000E+00          1.2350000000E-02         -8.1000000000E-03
        -2.0943951024E-01          4.7145860000E+06          1.8947368421E-01         -1.3810000000E+00          1.2770000000E-02         -1.0600000000E-02
        -2.0943951024E-01          4.7145860000E+06          2.3684210526E-01         -1.4066000000E+00          1.3430000000E-02         -1.4100000000E-02
        -2.0943951024E-01          4.7145860000E+06          2.8421052632E-01         -1.4382000000E+00          1.4510000000E-02         -1.9100000000E-02
        -2.0943951024E-01          4.7145860000E+06          3.3157894737E-01         -1.4759000000E+00          1.6180000000E-02         -2.6100000000E-02
        -2.0943951024E-01          4.7145860000E+06          3.7894736842E-01         -1.4898000000E+00          2.1300000000E-02         -3.7100000000E-02
        -2.0943951024E-01          4.7145860000E+06          4.2631578947E-01         -1.2971000000E+00          4.4230000000E-02         -3.4200000000E-02
        -2.0943951024E-01          1.2714586000E+07          0.0000000000E+00         -1.3525000000E+00          9.7700000000E-03         -3.3000000000E-03
        -2.0943951024E-01          1.2714586000E+07          4.7368421053E-02         -1.3553000000E+00          9.8100000000E-03         -3.6000000000E-03
        -2.0943951024E-01          1.2714586000E+07          9.4736842105E-02         -1.3638000000E+00          9.9100000000E-03         -4.5000000000E-03
        -2.0943951024E-01          1.2714586000E+07          1.4210526316E-01         -1.3781000000E+00          1.0120000000E-02         -6.1000000000E-03
        -2.0943951024E-01          1.2714586000E+07          1.8947368421E-01         -1.3988000000E+00          1.0450000000E-02         -8.5000000000E-03
        -2.0943951024E-01          1.2714586000E+07          2.3684210526E-01         -1.4271000000E+00          1.0890000000E-02         -1.1900000000E-02
        -2.0943951024E-01          1.2714586000E+07          2.8421052632E-01         -1.4647000000E+00          1.1420000000E-02         -1.6600000000E-02
        -2.0943951024E-01          1.2714586000E+07          3.3157894737E-01         -1.5127000000E+00          1.2250000000E-02         -2.3200000000E-02
        -2.0943951024E-01          2.0714586000E+07          0.0000000000E+00         -1.3579000000E+00          9.0500000000E-03         -2.6000000000E-03
        -2.0943951024E-01          2.0714586000E+07          4.7368421053E-02         -1.3608000000E+00          9.0800000000E-03         -2.9000000000E-03
        -2.0943951024E-01          2.0714586000E+07          9.4736842105E-02         -1.3694000000E+00          9.1800000000E-03         -3.8000000000E-03
        -2.0943951024E-01          2.0714586000E+07          1.4210526316E-01         -1.3843000000E+00          9.3200000000E-03         -5.4000000000E-03
        -2.0943951024E-01          2.0714586000E+07          1.8947368421E-01         -1.4059000000E+00          9.5500000000E-03         -7.7000000000E-03
        -2.0943951024E-01          2.0714586000E+07          2.3684210526E-01         -1.4352000000E+00          9.9100000000E-03         -1.1000000000E-02
        -2.0943951024E-01          2.0714586000E+07          2.8421052632E-01         -1.4735000000E+00          1.0430000000E-02         -1.5700000000E-02
        -2.0943951024E-01          2.0714586000E+07          3.3157894737E-01         -1.5236000000E+00          1.1120000000E-02         -2.2300000000E-02
        -2.0943951024E-01          2.0714586000E+07          3.7894736842E-01         -1.5883000000E+00          1.2250000000E-02         -3.1900000000E-02
        -2.0943951024E-01          2.8714586000E+07          0.0000000000E+00         -1.3616000000E+00          8.5500000000E-03         -2.1000000000E-03
        -2.0943951024E-01          2.8714586000E+07          4.7368421053E-02         -1.3645000000E+00          8.5800000000E-03         -2.4000000000E-03
        -2.0943951024E-01          2.8714586000E+07          9.4736842105E-02         -1.3732000000E+00          8.6600000000E-03         -3.3000000000E-03
        -2.0943951024E-01          2.8714586000E+07          1.4210526316E-01         -1.3882000000E+00          8.8200000000E-03         -4.9000000000E-03
        -2.0943951024E-01          2.8714586000E+07          1.8947368421E-01         -1.4098000000E+00          9.0800000000E-03         -7.2000000000E-03
        -2.0943951024E-01          3.6714586000E+07          0.0000000000E+00         -1.3640000000E+00          8.2400000000E-03         -1.8000000000E-03
        -2.0943951024E-01          3.6714586000E+07          4.7368421053E-02         -1.3669000000E+00          8.2700000000E-03         -2.1000000000E-03
        -2.0943951024E-01          3.6714586000E+07          9.4736842105E-02         -1.3756000000E+00          8.3700000000E-03         -3.0000000000E-03
        -2.0943951024E-01          3.6714586000E+07          1.4210526316E-01         -1.3905000000E+00          8.5400000000E-03         -4.6000000000E-03
        -2.0943951024E-01          3.6714586000E+07          1.8947368421E-01         -1.4124000000E+00          8.7700000000E-03         -6.9000000000E-03
        -2.0943951024E-01          3.6714586000E+07          2.3684210526E-01         -1.4426000000E+00          9.0500000000E-03         -1.0200000000E-02
        -2.0943951024E-01          3.6714586000E+07          2.8421052632E-01         -1.4826000000E+00          9.4200000000E-03         -1.4800000000E-02
        -2.0943951024E-01          3.6714586000E+07          3.3157894737E-01         -1.5352000000E+00          9.9100000000E-03         -2.1200000000E-02
        -2.0943951024E-01          3.6714586000E+07          3.7894736842E-01         -1.6052000000E+00          1.0630000000E-02         -3.0600000000E-02
        -2.0943951024E-01          4.4714586000E+07          0.0000000000E+00         -1.3660000000E+00          8.0800000000E-03         -1.5000000000E-03
        -2.0943951024E-01          4.4714586000E+07          4.7368421053E-02         -1.3688000000E+00          8.1100000000E-03         -1.8000000000E-03
        -2.0943951024E-01          4.4714586000E+07          9.4736842105E-02         -1.3775000000E+00          8.1900000000E-03         -2.7000000000E-03
        -2.0943951024E-01          4.4714586000E+07          1.4210526316E-01         -1.3923000000E+00          8.3300000000E-03         -4.3000000000E-03
        -2.0943951024E-01          4.4714586000E+07          1.8947368421E-01         -1.4140000000E+00          8.5100000000E-03         -6.8000000000E-03
        -1.8849555922E-01          4.7145860000E+06          0.0000000000E+00         -1.2115000000E+00          1.0560000000E-02         -4.0000000000E-03
        -1.8849555922E-01          4.7145860000E+06          4.7368421053E-02         -1.2138000000E+00          1.0590000000E-02         -4.2000000000E-03
        -1.8849555922E-01          4.7145860000E+06          9.4736842105E-02         -1.2208000000E+00          1.0680000000E-02         -4.9000000000E-03
        -1.8849555922E-01          4.7145860000E+06          1.4210526316E-01         -1.2326000000E+00          1.0840000000E-02         -6.1000000000E-03
        -1.8849555922E-01          4.7145860000E+06          1.8947368421E-01         -1.2495000000E+00          1.1120000000E-02         -7.9000000000E-03
        -1.8849555922E-01          4.7145860000E+06          2.3684210526E-01         -1.2720000000E+00          1.1550000000E-02         -1.0600000000E-02
        -1.8849555922E-01          4.7145860000E+06          2.8421052632E-01         -1.3006000000E+00          1.2210000000E-02         -1.4200000000E-02
        -1.8849555922E-01          4.7145860000E+06          3.3157894737E-01         -1.3370000000E+00          1.3070000000E-02         -1.9100000000E-02
        -1.8849555922E-01          4.7145860000E+06          3.7894736842E-01         -1.3781000000E+00          1.4800000000E-02         -2.6400000000E-02
        -1.8849555922E-01          4.7145860000E+06          4.2631578947E-01         -1.3636000000E+00          2.2910000000E-02         -3.8000000000E-02
        -1.8849555922E-01          1.2714586000E+07          0.0000000000E+00         -1.2235000000E+00          8.7000000000E-03         -2.4000000000E-03
        -1.8849555922E-01          1.2714586000E+07          4.7368421053E-02         -1.2259000000E+00          8.7200000000E-03         -2.6000000000E-03
        -1.8849555922E-01          1.2714586000E+07          9.4736842105E-02         -1.2330000000E+00          8.8100000000E-03         -3.3000000000E-03
        -1.8849555922E-01          1.2714586000E+07          1.4210526316E-01         -1.2452000000E+00          8.9600000000E-03         -4.5000000000E-03
        -1.8849555922E-01          1.2714586000E+07          1.8947368421E-01         -1.2629000000E+00          9.1900000000E-03         -6.3000000000E-03
        -1.8849555922E-01          1.2714586000E+07          2.3684210526E-01         -1.2872000000E+00          9.4500000000E-03         -8.8000000000E-03
        -1.8849555922E-01          1.2714586000E+07          2.8421052632E-01         -1.3190000000E+00          9.8000000000E-03         -1.2200000000E-02
        -1.8849555922E-01          1.2714586000E+07          3.3157894737E-01         -1.3595000000E+00          1.0320000000E-02         -1.7000000000E-02
        -1.8849555922E-01          1.2714586000E+07          3.7894736842E-01         -1.4114000000E+00          1.1100000000E-02         -2.3700000000E-02
        -1.8849555922E-01          2.0714586000E+07          0.0000000000E+00         -1.2279000000E+00          8.0500000000E-03         -1.8000000000E-03
        -1.8849555922E-01          2.0714586000E+07          4.7368421053E-02         -1.2304000000E+00          8.0700000000E-03         -2.0000000000E-03
        -1.8849555922E-01          2.0714586000E+07          9.4736842105E-02         -1.2377000000E+00          8.1300000000E-03         -2.7000000000E-03
        -1.8849555922E-01          2.0714586000E+07          1.4210526316E-01         -1.2503000000E+00          8.2400000000E-03         -3.8000000000E-03
        -1.8849555922E-01          2.0714586000E+07          1.8947368421E-01         -1.2685000000E+00          8.4100000000E-03         -5.6000000000E-03
        -1.8849555922E-01          2.0714586000E+07          2.3684210526E-01         -1.2930000000E+00          8.6800000000E-03         -8.1000000000E-03
        -1.8849555922E-01          2.0714586000E+07          2.8421052632E-01         -1.3252000000E+00          9.0300000000E-03         -1.1500000000E-02
        -1.8849555922E-01          2.0714586000E+07          3.3157894737E-01         -1.3673000000E+00          9.4200000000E-03         -1.6200000000E-02
        -1.8849555922E-01          2.0714586000E+07          3.7894736842E-01         -1.4217000000E+00          9.9800000000E-03         -2.2800000000E-02
        -1.8849555922E-01          2.8714586000E+07          0.0000000000E+00         -1.2308000000E+00          7.6400000000E-03         -1.4000000000E-03
        -1.8849555922E-01          2.8714586000E+07          4.7368421053E-02         -1.2333000000E+00          7.6600000000E-03         -1.6000000000E-03
        -1.8849555922E-01          2.8714586000E+07          9.4736842105E-02         -1.2406000000E+00          7.7300000000E-03         -2.3000000000E-03
