# alpha                     Rey                       Mach                      CL                        CD                        Cm                       
        -2.0943951024E-01          4.7145860000E+06          0.0000000000E+00         -1.3129000000E+00          1.6030000000E-02          2.4000000000E-03
        -2.0943951024E-01          4.7145860000E+06          4.7368421053E-02         -1.3147000000E+00          1.6260000000E-02          2.0000000000E-03
        -2.0943951024E-01          4.7145860000E+06          9.4736842105E-02         -1.3195000000E+00          1.7070000000E-02          5.0000000000E-04
        -2.0943951024E-01          4.7145860000E+06          1.4210526316E-01         -1.3249000000E+00          1.8850000000E-02         -2.4000000000E-03
        -2.0943951024E-01          4.7145860000E+06          1.8947368421E-01         -1.3194000000E+00          2.3200000000E-02         -7.5000000000E-03
        -2.0943951024E-01          4.7145860000E+06          2.3684210526E-01         -1.1739000000E+00          4.2310000000E-02         -1.9100000000E-02
        -2.0943951024E-01          4.7145860000E+06          2.8421052632E-01         -8.3860000000E-01          1.1405000000E-01          2.9800000000E-02
        -2.0943951024E-01          4.7145860000E+06          3.3157894737E-01         -7.7230000000E-01          1.3199000000E-01          3.8400000000E-02
        -2.0943951024E-01          4.7145860000E+06          3.7894736842E-01         -7.6050000000E-01          1.3735000000E-01          4.0600000000E-02
        -2.0943951024E-01          4.7145860000E+06          4.2631578947E-01         -7.5250000000E-01          1.4213000000E-01          4.2600000000E-02
        -2.0943951024E-01          4.7145860000E+06          4.7368421053E-01         -7.4780000000E-01          1.4686000000E-01          4.4600000000E-02
        -2.0943951024E-01          4.7145860000E+06          5.2105263158E-01         -7.4640000000E-01          1.5169000000E-01          4.6800000000E-02
        -2.0943951024E-01          1.2714586000E+07          0.0000000000E+00         -1.3346000000E+00          1.2660000000E-02          5.4000000000E-03
        -2.0943951024E-01          1.2714586000E+07          4.7368421053E-02         -1.3372000000E+00          1.2770000000E-02          5.0000000000E-03
        -2.0943951024E-01          1.2714586000E+07          9.4736842105E-02         -1.3451000000E+00          1.3130000000E-02          3.8000000000E-03
        -2.0943951024E-01          1.2714586000E+07          1.4210526316E-01         -1.3581000000E+00          1.3850000000E-02          1.6000000000E-03
        -2.0943951024E-01          1.2714586000E+07          1.8947368421E-01         -1.3750000000E+00          1.5250000000E-02         -2.0000000000E-03
        -2.0943951024E-01          1.2714586000E+07          2.3684210526E-01         -1.3864000000E+00          1.8770000000E-02         -8.0000000000E-03
        -2.0943951024E-01          2.0714586000E+07          4.7368421053E-02         -1.3488000000E+00          1.0830000000E-02          6.6000000000E-03
        -2.0943951024E-01          2.0714586000E+07          9.4736842105E-02         -1.3577000000E+00          1.1060000000E-02          5.5000000000E-03
        -2.0943951024E-01          2.0714586000E+07          1.4210526316E-01         -1.3727000000E+00          1.1530000000E-02          3.4000000000E-03
        -2.0943951024E-01          2.0714586000E+07          1.8947368421E-01         -1.3938000000E+00          1.2400000000E-02          1.0000000000E-04
        -2.0943951024E-01          2.8714586000E+07          0.0000000000E+00         -1.3509000000E+00          9.9400000000E-03          7.7000000000E-03
        -2.0943951024E-01          2.8714586000E+07          4.7368421053E-02         -1.3540000000E+00          1.0000000000E-02          7.4000000000E-03
        -2.0943951024E-01          2.8714586000E+07          9.4736842105E-02         -1.3632000000E+00          1.0190000000E-02          6.3000000000E-03
        -2.0943951024E-01          2.8714586000E+07          1.4210526316E-01         -1.3790000000E+00          1.0550000000E-02          4.3000000000E-03
        -2.0943951024E-01          2.8714586000E+07          1.8947368421E-01         -1.4019000000E+00          1.1190000000E-02          1.1000000000E-03
        -2.0943951024E-01          2.8714586000E+07          2.3684210526E-01         -1.4304000000E+00          1.2620000000E-02         -3.9000000000E-03
        -2.0943951024E-01          3.6714586000E+07          0.0000000000E+00         -1.3541000000E+00          9.4500000000E-03          8.2000000000E-03
        -2.0943951024E-01          3.6714586000E+07          4.7368421053E-02         -1.3572000000E+00          9.5100000000E-03          7.8000000000E-03
        -2.0943951024E-01          3.6714586000E+07          9.4736842105E-02         -1.3666000000E+00          9.6700000000E-03          6.7000000000E-03
        -2.0943951024E-01          3.6714586000E+07          1.4210526316E-01         -1.3828000000E+00          9.9800000000E-03          4.8000000000E-03
        -2.0943951024E-01          4.4714586000E+07          0.0000000000E+00         -1.3563000000E+00          9.1100000000E-03          8.5000000000E-03
        -2.0943951024E-01          4.4714586000E+07          4.7368421053E-02         -1.3594000000E+00          9.1600000000E-03          8.1000000000E-03
        -2.0943951024E-01          4.4714586000E+07          9.4736842105E-02         -1.3690000000E+00          9.3100000000E-03          7.1000000000E-03
        -2.0943951024E-01          4.4714586000E+07          1.4210526316E-01         -1.3855000000E+00          9.5900000000E-03          5.1000000000E-03
        -2.0943951024E-01          4.4714586000E+07          1.8947368421E-01         -1.4097000000E+00          1.0060000000E-02          2.1000000000E-03
        -1.8849555922E-01          4.7145860000E+06          0.0000000000E+00         -1.1951000000E+00          1.3530000000E-02          3.7000000000E-03
        -1.8849555922E-01          4.7145860000E+06          4.7368421053E-02         -1.1970000000E+00          1.3680000000E-02          3.4000000000E-03
        -1.8849555922E-01          4.7145860000E+06          9.4736842105E-02         -1.2025000000E+00          1.4150000000E-02          2.4000000000E-03
        -1.8849555922E-01          4.7145860000E+06          1.4210526316E-01         -1.2109000000E+00          1.5140000000E-02          5.0000000000E-04
        -1.8849555922E-01          4.7145860000E+06          1.8947368421E-01         -1.2194000000E+00          1.7170000000E-02         -2.6000000000E-03
        -1.8849555922E-01          4.7145860000E+06          2.3684210526E-01         -1.2101000000E+00          2.3050000000E-02         -8.3000000000E-03
        -1.8849555922E-01          4.7145860000E+06          2.8421052632E-01         -9.9260000000E-01          5.3250000000E-02         -1.4700000000E-02
        -1.8849555922E-01          4.7145860000E+06          3.3157894737E-01         -8.7130000000E-01          8.7490000000E-02          1.4900000000E-02
        -1.8849555922E-01          4.7145860000E+06          3.7894736842E-01         -7.8940000000E-01          1.0689000000E-01          2.6500000000E-02
        -1.8849555922E-01          4.7145860000E+06          4.2631578947E-01         -7.5750000000E-01          1.1624000000E-01          3.1100000000E-02
        -1.8849555922E-01          4.7145860000E+06          4.7368421053E-01         -7.3980000000E-01          1.2287000000E-01          3.4000000000E-02
        -1.8849555922E-01          4.7145860000E+06          5.2105263158E-01         -7.2920000000E-01          1.2862000000E-01          3.6500000000E-02
        -1.8849555922E-01          1.2714586000E+07          0.0000000000E+00         -1.2110000000E+00          1.0820000000E-02          6.0000000000E-03
        -1.8849555922E-01          1.2714586000E+07          4.7368421053E-02         -1.2133000000E+00          1.0900000000E-02          5.7000000000E-03
        -1.8849555922E-01          1.2714586000E+07          9.4736842105E-02         -1.2202000000E+00          1.1170000000E-02          4.8000000000E-03
        -1.8849555922E-01          1.2714586000E+07          1.4210526316E-01         -1.2316000000E+00          1.1690000000E-02          3.3000000000E-03
        -1.8849555922E-01          1.2714586000E+07          1.8947368421E-01         -1.2472000000E+00          1.2630000000E-02          7.0000000000E-04
        -1.8849555922E-01          1.2714586000E+07          2.3684210526E-01         -1.2655000000E+00          1.4420000000E-02         -3.1000000000E-03
        -1.8849555922E-01          2.0714586000E+07          0.0000000000E+00         -1.2183000000E+00          9.5200000000E-03          7.1000000000E-03
        -1.8849555922E-01          2.0714586000E+07          4.7368421053E-02         -1.2208000000E+00          9.5700000000E-03          6.8000000000E-03
        -1.8849555922E-01          2.0714586000E+07          9.4736842105E-02         -1.2283000000E+00          9.7300000000E-03          6.0000000000E-03
        -1.8849555922E-01          2.0714586000E+07          1.4210526316E-01         -1.2410000000E+00          1.0050000000E-02          4.6000000000E-03
        -1.8849555922E-01          2.0714586000E+07          1.8947368421E-01         -1.2591000000E+00          1.0610000000E-02          2.2000000000E-03
        -1.8849555922E-01          2.8714586000E+07          0.0000000000E+00         -1.2224000000E+00          8.8000000000E-03          7.7000000000E-03
        -1.8849555922E-01          2.8714586000E+07          4.7368421053E-02         -1.2249000000E+00          8.8400000000E-03          7.5000000000E-03
        -1.8849555922E-01          2.8714586000E+07          9.4736842105E-02         -1.2326000000E+00          8.9700000000E-03          6.7000000000E-03
        -1.8849555922E-01          2.8714586000E+07          1.4210526316E-01         -1.2458000000E+00          9.2100000000E-03          5.2000000000E-03
        -1.8849555922E-01          2.8714586000E+07          1.8947368421E-01         -1.2650000000E+00          9.6200000000E-03          3.0000000000E-03
        -1.8849555922E-01          2.8714586000E+07          2.3684210526E-01         -1.2903000000E+00          1.0410000000E-02         -3.0000000000E-04
        -1.8849555922E-01          3.6714586000E+07          0.0000000000E+00         -1.2249000000E+00          8.3800000000E-03          8.1000000000E-03
        -1.8849555922E-01          3.6714586000E+07          4.7368421053E-02         -1.2274000000E+00          8.4200000000E-03          7.8000000000E-03
        -1.8849555922E-01          3.6714586000E+07          9.4736842105E-02         -1.2353000000E+00          8.5300000000E-03          7.0000000000E-03
        -1.8849555922E-01          3.6714586000E+07          1.4210526316E-01         -1.2488000000E+00          8.7300000000E-03          5.7000000000E-03
        -1.8849555922E-01          4.4714586000E+07          0.0000000000E+00         -1.2282000000E+00          8.1500000000E-03          8.7000000000E-03
        -1.8849555922E-01          4.4714586000E+07          4.7368421053E-02         -1.2308000000E+00          8.1800000000E-03          8.5000000000E-03
        -1.8849555922E-01          4.4714586000E+07          9.4736842105E-02         -1.2387000000E+00          8.2700000000E-03          7.7000000000E-03
        -1.8849555922E-01          4.4714586000E+07          1.4210526316E-01         -1.2522000000E+00          8.4500000000E-03          6.3000000000E-03
        -1.8849555922E-01          4.4714586000E+07          1.8947368421E-01         -1.2719000000E+00          8.7300000000E-03          4.1000000000E-03
        -1.6755160819E-01          4.7145860000E+06          0.0000000000E+00         -1.0715000000E+00          1.1470000000E-02          4.4000000000E-03
        -1.6755160819E-01          4.7145860000E+06          4.7368421053E-02         -1.0733000000E+00          1.1540000000E-02          4.1000000000E-03
        -1.6755160819E-01          4.7145860000E+06          9.4736842105E-02         -1.0786000000E+00          1.1790000000E-02          3.5000000000E-03
        -1.6755160819E-01          4.7145860000E+06          1.4210526316E-01         -1.0874000000E+00          1.2290000000E-02          2.3000000000E-03
        -1.6755160819E-01          4.7145860000E+06          1.8947368421E-01         -1.0989000000E+00          1.3240000000E-02          4.0000000000E-04
        -1.6755160819E-01          4.7145860000E+06          2.3684210526E-01         -1.1105000000E+00          1.5300000000E-02         -2.7000000000E-03
        -1.6755160819E-01          4.7145860000E+06          2.8421052632E-01         -1.1006000000E+00          2.2170000000E-02         -8.4000000000E-03
        -1.6755160819E-01          4.7145860000E+06          3.3157894737E-01         -9.4660000000E-01          4.8950000000E-02         -1.4800000000E-02
        -1.6755160819E-01          4.7145860000E+06          3.7894736842E-01         -8.4720000000E-01          7.1640000000E-02          4.1000000000E-03
        -1.6755160819E-01          4.7145860000E+06          4.2631578947E-01         -7.8430000000E-01          8.7840000000E-02          1.6400000000E-02
        -1.6755160819E-01          4.7145860000E+06          4.7368421053E-01         -7.4960000000E-01          9.7170000000E-02          2.1800000000E-02
        -1.6755160819E-01          4.7145860000E+06          5.2105263158E-01         -7.2850000000E-01          1.0399000000E-01          2.5300000000E-02
        -1.6755160819E-01          1.2714586000E+07          0.0000000000E+00         -1.0836000000E+00          9.1900000000E-03          6.2000000000E-03
        -1.6755160819E-01          1.2714586000E+07          4.7368421053E-02         -1.0856000000E+00          9.2300000000E-03          6.1000000000E-03
        -1.6755160819E-01          1.2714586000E+07          9.4736842105E-02         -1.0917000000E+00          9.3500000000E-03          5.5000000000E-03
        -1.6755160819E-01          1.2714586000E+07          1.4210526316E-01         -1.1021000000E+00          9.5700000000E-03          4.5000000000E-03
        -1.6755160819E-01          1.2714586000E+07          1.8947368421E-01         -1.1170000000E+00          9.9100000000E-03          2.9000000000E-03
        -1.6755160819E-01          1.2714586000E+07          2.3684210526E-01         -1.1371000000E+00          1.0450000000E-02          6.0000000000E-04
        -1.6755160819E-01          2.0714586000E+07          0.0000000000E+00         -1.0882000000E+00          8.3900000000E-03          6.9000000000E-03
        -1.6755160819E-01          2.0714586000E+07          4.7368421053E-02         -1.0902000000E+00          8.4300000000E-03          6.7000000000E-03
        -1.6755160819E-01          2.0714586000E+07          9.4736842105E-02         -1.0964000000E+00          8.5300000000E-03          6.2000000000E-03
        -1.6755160819E-01          2.0714586000E+07          1.4210526316E-01         -1.1070000000E+00          8.7200000000E-03          5.2000000000E-03
        -1.6755160819E-01          2.0714586000E+07          1.8947368421E-01         -1.1222000000E+00          9.0600000000E-03          3.6000000000E-03
        -1.6755160819E-01          2.8714586000E+07          0.0000000000E+00         -1.0913000000E+00          7.8100000000E-03          7.4000000000E-03
        -1.6755160819E-01          2.8714586000E+07          4.7368421053E-02         -1.0933000000E+00          7.8300000000E-03          7.2000000000E-03
        -1.6755160819E-01          2.8714586000E+07          9.4736842105E-02         -1.0997000000E+00          7.9100000000E-03          6.7000000000E-03
