x[ft]             altitude[ft]             V[ft/s]             Density[slug/ft^3]            Temp[R]            Mach            Tmax[lbf]               qT               dH/dx           Gamma[deg]             Weight[lbf]                  CL        CD       Drag[lbf]           Thrust[lbf]
  3.108188297000E+06  6.411185307000E+03  6.000000000000E+02  1.962054433783E-03  4.958137136416E+02  5.496652564295E-01  9.872015826082E+04  4.144806805993E-06 -1.158066927755E-02 -6.634938137955E-01  3.750000000000E+05  2.949280570997E-01  2.253907526889E-02  2.865643438193E+04  2.431397458085E+04
  3.076792455616E+06  6.774770162757E+03  6.000000000000E+02  1.940324130807E-03  4.945179312631E+02  5.503849275928E-01  9.852659512538E+04  4.142638091906E-06 -1.157847913526E-02 -6.633683447098E-01  3.751696740023E+05  2.983659959734E-01  2.266798587239E-02  2.850113951027E+04  2.415753641217E+04
  3.045396614232E+06  7.138217495794E+03  6.000000000000E+02  1.918787290202E-03  4.932226841416E+02  5.511071339156E-01  9.833298518515E+04  4.140465725576E-06 -1.157355719712E-02 -6.630863762122E-01  3.753381680951E+05  3.018504354668E-01  2.280081094205E-02  2.834993924475E+04  2.400623239204E+04
  3.014000772848E+06  7.501493294772E+03  6.000000000000E+02  1.897444584669E-03  4.919280934262E+02  5.518318225529E-01  9.813934630822E+04  4.138289894966E-06 -1.156205983127E-02 -6.624277138119E-01  3.755055190588E+05  3.053818283908E-01  2.293765566419E-02  2.820285898021E+04  2.386153186915E+04
  2.982604931465E+06  7.864218688860E+03  6.000000000000E+02  1.876316625998E-03  4.906355091463E+02  5.525582477215E-01  9.794588040063E+04  4.136112861577E-06 -1.154724460723E-02 -6.615789773164E-01  3.756717738583E+05  3.089573138287E-01  2.307849596248E-02  2.806006255898E+04  2.372237787553E+04
  2.951209090081E+06  8.226564214990E+03  6.000000000000E+02  1.855391687872E-03  4.893443234126E+02  5.532867585888E-01  9.775249656147E+04  4.133933597967E-06 -1.153139362274E-02 -6.606709037197E-01  3.758369721249E+05  3.125791567996E-01  2.322350839459E-02  2.792148047618E+04  2.358784453142E+04
  2.919813248697E+06  8.588294299088E+03  6.000000000000E+02  1.834681546615E-03  4.880553754848E+02  5.540168884238E-01  9.755932060735E+04  4.131753518267E-06 -1.150615144063E-02 -6.592248250876E-01  3.760011469489E+05  3.162457694329E-01  2.337271848509E-02  2.778720895364E+04  2.346116917101E+04
  2.888417407313E+06  8.949054826126E+03  6.000000000000E+02  1.814204227566E-03  4.867699268804E+02  5.547479223818E-01  9.736654203383E+04  4.129574765049E-06 -1.148072050285E-02 -6.577679321379E-01  3.761643539319E+05  3.199542169241E-01  2.352609251875E-02  2.765737645565E+04  2.333902323012E+04
  2.857021565929E+06  9.309188058847E+03  6.000000000000E+02  1.793938065368E-03  4.854867577639E+02  5.554805537618E-01  9.717397834025E+04  4.127395279934E-06 -1.145182247057E-02 -6.561124145120E-01  3.763266255484E+05  3.237084374522E-01  2.368388112218E-02  2.753184549072E+04  2.322250234748E+04
  2.825625724545E+06  9.668134029810E+03  6.000000000000E+02  1.773912197300E-03  4.842078629847E+02  5.562136404929E-01  9.698192944581E+04  4.125218464619E-06 -1.141270315116E-02 -6.538713355141E-01  3.764880017496E+05  3.275033396325E-01  2.384595790067E-02  2.741081185345E+04  2.311434584731E+04
  2.794229883162E+06  1.002581089464E+04  6.000000000000E+02  1.754128376246E-03  4.829335336936E+02  5.569470047334E-01  9.679043996751E+04  4.123044840492E-06 -1.137841635809E-02 -6.519071020513E-01  3.766485415708E+05  3.313384209875E-01  2.401238424230E-02  2.729428136832E+04  2.300889484366E+04
  2.762834041778E+06  1.038260394017E+04  6.000000000000E+02  1.734562724121E-03  4.816623967959E+02  5.576814293251E-01  9.659930431105E+04  4.120872085563E-06 -1.133451632007E-02 -6.493921395062E-01  3.768082647193E+05  3.352181380022E-01  2.418344139729E-02  2.718210700068E+04  2.291144189474E+04
  2.731438200394E+06  1.073752424773E+04  6.000000000000E+02  1.715266506639E-03  4.803979749796E+02  5.584148641247E-01  9.640905322602E+04  4.118706253008E-06 -1.128131171030E-02 -6.463441296618E-01  3.769672274756E+05  3.391324505214E-01  2.435876961918E-02  2.707459452263E+04  2.282218031441E+04
  2.700042359010E+06  1.109097648628E+04  6.000000000000E+02  1.696214383589E-03  4.791388259812E+02  5.591481236104E-01  9.621947106974E+04  4.116544915587E-06 -1.123956127590E-02 -6.439523092548E-01  3.771254876059E+05  3.430857714304E-01  2.453864438683E-02  2.697157541265E+04  2.273311809491E+04
  2.668646517626E+06  1.144327521382E+04  6.000000000000E+02  1.677386598962E-03  4.778838287327E+02  5.598818471703E-01  9.603039003856E+04  4.114386178485E-06 -1.117898333978E-02 -6.404818852356E-01  3.772830473365E+05  3.470819120165E-01  2.472332648381E-02  2.687293358866E+04  2.265555620200E+04
  2.637250676242E+06  1.179292366182E+04  6.000000000000E+02  1.658859570472E-03  4.766383145000E+02  5.606128897901E-01  9.584261496730E+04  4.112239264507E-06 -1.111140793057E-02 -6.366105803667E-01  3.774399870479E+05  3.511045616559E-01  2.491213681396E-02  2.677907730043E+04  2.258544650697E+04
  2.605854834859E+06  1.214097921569E+04  6.000000000000E+02  1.640573444210E-03  4.753985159126E+02  5.613434289901E-01  9.565557972686E+04  4.110097740774E-06 -1.106195664313E-02 -6.337775785225E-01  3.775963593385E+05  3.551653137968E-01  2.510568977997E-02  2.668964771264E+04  2.251294869404E+04
