   Time[s]           u[ft/s]           v[ft/s]           w[ft/s]           p[rad/s]          q[rad/s]          r[rad/s]          x[ft]             y[ft]             z[ft]             eo                e1                e2                e3
   2.000000000E+00   5.528855812E+01   1.755707961E-01   1.062265799E+01  -5.522391815E-03   2.322951602E-02  -3.395345613E-03   1.086167313E+02   5.501427071E-03  -9.957611410E+02   9.985815461E-01  -1.461316120E-03   5.318884349E-02  -1.925446939E-03
   2.100000000E+00   5.551323577E+01   1.745835761E-01   1.081195855E+01  -5.339024859E-03   5.832927511E-02  -2.896247060E-03   1.142403751E+02   3.146201486E-03  -9.952950588E+02   9.984652599E-01  -1.732407130E-03   5.531578073E-02  -2.070751302E-03
   2.200000000E+00   5.572290144E+01   1.690585842E-01   1.099717709E+01  -5.875959658E-03   6.938968907E-02  -2.499153581E-03   1.198902108E+02  -7.176595632E-04  -9.948432297E+02   9.982782688E-01  -2.011982108E-03   5.858011127E-02  -2.195573230E-03
   2.300000000E+00   5.592713245E+01   1.587163499E-01   1.110240618E+01  -6.335850008E-03   6.631813863E-02  -2.062441867E-03   1.255652802E+02  -6.336197755E-03  -9.944176871E+02   9.980710226E-01  -2.317273768E-03   6.199661746E-02  -2.298576660E-03
   2.400000000E+00   5.612292941E+01   1.434989837E-01   1.113604911E+01  -6.309718042E-03   6.088980559E-02  -1.550629331E-03   1.312637733E+02  -1.395055360E-02  -9.940255968E+02   9.978681997E-01  -2.633173893E-03   6.516497887E-02  -2.376556515E-03
   2.500000000E+00   5.630261383E+01   1.237391762E-01   1.113879778E+01  -5.787631385E-03   5.929097748E-02  -1.004797082E-03   1.369834213E+02  -2.378196004E-02  -9.936694716E+02   9.976680747E-01  -2.933641064E-03   6.814623690E-02  -2.428359291E-03
   2.600000000E+00   5.646021249E+01   1.000787730E-01   1.114310267E+01  -4.946886328E-03   6.188405325E-02  -4.831974772E-04   1.427218436E+02  -3.602363103E-02  -9.933496790E+02   9.974569706E-01  -3.197451391E-03   7.115712978E-02  -2.455793437E-03
   2.700000000E+00   5.659335986E+01   7.332485461E-02   1.115994486E+01  -3.958855134E-03   6.630399306E-02  -2.627040176E-05   1.484766709E+02  -5.083851985E-02  -9.930665756E+02   9.972231904E-01  -3.412918361E-03   7.435184053E-02  -2.462579898E-03
   2.800000000E+00   5.670216841E+01   4.434906160E-02   1.118491203E+01  -2.911896591E-03   7.030817311E-02   3.485555069E-04   1.542455143E+02  -6.835756126E-02  -9.928212979E+02   9.969625340E-01  -3.575338093E-03   7.776184788E-02  -2.453103102E-03
   2.900000000E+00   5.678745458E+01   1.404359815E-02   1.120935893E+01  -1.827036251E-03   7.294302757E-02   6.375169704E-04   1.600259018E+02  -8.867578735E-02  -9.926155251E+02   9.966768411E-01  -3.682852187E-03   8.133755250E-02  -2.431788944E-03
   3.000000000E+00   5.684966477E+01  -1.669062559E-02   1.122758252E+01  -7.037618031E-04   7.433275390E-02   8.404022090E-04   1.658152515E+02  -1.118475606E-01  -9.924509224E+02   9.963701308E-01  -3.734036571E-03   8.501085128E-02  -2.403039396E-03
   3.100000000E+00   5.688869241E+01  -4.695111173E-02   1.123827541E+01   4.478539544E-04   7.498980987E-02   9.557800551E-04   1.716108894E+02  -1.378831964E-01  -9.923287532E+02   9.960457378E-01  -3.727623150E-03   8.873201097E-02  -2.371346013E-03
   3.200000000E+00   5.690418290E+01  -7.585070576E-02   1.124270619E+01   1.599506553E-03   7.530484808E-02   9.812074755E-04   1.774100867E+02  -1.667480957E-01  -9.922497742E+02   9.957055100E-01  -3.663291916E-03   9.247505600E-02  -2.341313616E-03
   3.300000000E+00   5.689587840E+01  -1.025447552E-01   1.124251922E+01   2.712162840E-03   7.539917399E-02   9.154105411E-04   1.832100951E+02  -1.983641741E-01  -9.922143101E+02   9.953504325E-01  -3.542451223E-03   9.622679734E-02  -2.317539803E-03
   3.400000000E+00   5.686378487E+01  -1.262619514E-01   1.123860797E+01   3.746223207E-03   7.521425285E-02   7.600308010E-04   1.890081728E+02  -2.326128715E-01  -9.922223595E+02   9.949815663E-01  -3.368530033E-03   9.997512357E-02  -2.304420946E-03
   3.500000000E+00   5.680816815E+01  -1.463324891E-01   1.123107594E+01   4.667632104E-03   7.465121491E-02   5.201602234E-04   1.948016025E+02  -2.693392330E-01  -9.922736574E+02   9.946005956E-01  -3.146829730E-03   1.037035930E-01  -2.305963989E-03
   3.600000000E+00   5.672947853E+01  -1.622103095E-01   1.121967788E+01   5.449408820E-03   7.365292556E-02   2.039819987E-04   2.005877100E+02  -3.083568892E-01  -9.923676850E+02   9.942098793E-01  -2.884175075E-03   1.073917538E-01  -2.325639817E-03
   3.700000000E+00   5.662828581E+01  -1.734889104E-01   1.120421393E+01   6.070882401E-03   7.221574334E-02  -1.779063273E-04   2.063638823E+02  -3.494539099E-01  -9.925036568E+02   9.938122379E-01  -2.588551172E-03   1.110177278E-01  -2.366277909E-03
   3.800000000E+00   5.650525308E+01  -1.799113923E-01   1.118468192E+01   6.516752927E-03   7.036521355E-02  -6.131194017E-04   2.121275880E+02  -3.923994306E-01  -9.926805092E+02   9.934107299E-01  -2.268791597E-03   1.145603311E-01  -2.429991002E-03
   3.900000000E+00   5.636113909E+01  -1.813754067E-01   1.116124283E+01   6.776832390E-03   6.813032424E-02  -1.087968188E-03   2.178763973E+02  -4.369508325E-01  -9.928969032E+02   9.930085362E-01  -1.934302426E-03   1.179998501E-01  -2.518123045E-03
   4.000000000E+00   5.619680878E+01  -1.779332781E-01   1.113412715E+01   6.846323722E-03   6.553154742E-02  -1.587861443E-03   2.236079997E+02  -4.828611804E-01  -9.931512379E+02   9.926089414E-01  -1.594788582E-03   1.213178589E-01  -2.631220205E-03
   4.100000000E+00   5.601323862E+01  -1.697873219E-01   1.110356839E+01   6.726173669E-03   6.258124938E-02  -2.097704579E-03   2.293202207E+02  -5.298866212E-01  -9.934416698E+02   9.922153493E-01  -1.259965981E-03   1.244967694E-01  -2.769027268E-03
   4.200000000E+00   5.581151433E+01  -1.572804375E-01   1.106978405E+01   6.423165280E-03   5.928897656E-02  -2.602332724E-03   2.350110358E+02  -5.777934782E-01  -9.937661327E+02   9.918312830E-01  -9.392645597E-04   1.275195516E-01  -2.930510778E-03
   4.300000000E+00   5.559282373E+01  -1.408822967E-01   1.103298589E+01   5.949658939E-03   5.566582660E-02  -3.086969398E-03   2.406785838E+02  -6.263648059E-01  -9.941223565E+02   9.914603532E-01  -6.415385315E-04   1.303697054E-01  -3.113908099E-03
   4.400000000E+00   5.535844883E+01  -1.211717083E-01   1.099339579E+01   5.323048882E-03   5.172605017E-02  -3.537680403E-03   2.463211776E+02  -6.754062064E-01  -9.945078856E+02   9.911062052E-01  -3.748006162E-04   1.330313812E-01  -3.316799818E-03
   4.500000000E+00   5.510975880E+01  -9.881592736E-02   1.095125425E+01   4.565042559E-03   4.748666832E-02  -3.941792753E-03   2.519373135E+02  -7.247507354E-01  -9.949200982E+02   9.907724575E-01  -1.459920967E-04   1.354895250E-01  -3.536201908E-03
   4.600000000E+00   5.484820406E+01  -7.454775959E-02   1.090682049E+01   3.700843231E-03   4.296652792E-02  -4.288258528E-03   2.575256798E+02  -7.742627674E-01  -9.953562263E+02   9.904626429E-01   3.920461529E-05   1.377299846E-01  -3.768673514E-03
   4.700000000E+00   5.457531052E+01  -4.914133364E-02   1.086036813E+01   2.758277912E-03   3.818568775E-02  -4.567953634E-03   2.630851618E+02  -8.238407318E-01  -9.958133766E+02   9.901801535E-01   1.765076058E-04   1.397395749E-01  -4.010435985E-03
   4.800000000E+00   5.429267356E+01  -2.338739034E-02   1.081218062E+01   1.766890980E-03   3.316531929E-02  -4.773907443E-03   2.686148467E+02  -8.734186784E-01  -9.962885517E+02   9.899281897E-01   2.631297085E-04   1.415061259E-01  -4.257498694E-03
   4.900000000E+00   5.400195111E+01   1.931099970E-03   1.076254820E+01   7.570202739E-04   2.792791404E-02  -4.901461551E-03   2.741140258E+02  -9.229666742E-01  -9.967786714E+02   9.897097090E-01   2.978248162E-04   1.430185338E-01  -4.505787222E-03
   5.000000000E+00   5.370485614E+01   2.606223920E-02   1.071176634E+01  -2.411222127E-04   2.249754012E-02  -4.948356737E-03   2.795821952E+02  -9.724900771E-01  -9.972805945E+02   9.895273769E-01   2.808867060E-04   1.442668257E-01  -4.751269710E-03
   5.100000000E+00   5.340314846E+01   4.830674546E-02   1.066013478E+01  -1.198338072E-03   1.690000636E-02  -4.914748098E-03   2.850190553E+02  -1.022027764E+00  -9.977911389E+02   9.893835184E-01   2.141020785E-04   1.452422349E-01  -4.990077477E-03
   5.200000000E+00   5.309862602E+01   6.803715633E-02   1.060795658E+01  -2.087270985E-03   1.116291271E-02  -4.803149981E-03   2.904245086E+02  -1.071649427E+00  -9.983071020E+02   9.892800743E-01   1.006608822E-04   1.459372826E-01  -5.218616456E-03
   5.300000000E+00   5.279311579E+01   8.471421853E-02   1.055553687E+01  -2.883151647E-03   5.315624712E-03  -4.618314341E-03   2.957986562E+02  -1.121452070E+00  -9.988252808E+02   9.892185609E-01  -5.497173071E-05   1.463458610E-01  -5.433666511E-03
   5.400000000E+00   5.248846419E+01   9.790010891E-02   1.050318138E+01  -3.564440014E-03  -6.107871110E-04  -4.367048161E-03   3.011417928E+02  -1.171555857E+00  -9.993424905E+02   9.892000361E-01  -2.472164451E-04   1.464633156E-01  -5.632466266E-03
   5.500000000E+00   5.218652711E+01   1.072682528E-01   1.045119482E+01  -4.113351222E-03  -6.583622245E-03  -4.057977202E-03   3.064544013E+02  -1.222099484E+00  -9.998555829E+02   9.892250722E-01  -4.695677275E-04   1.462865255E-01  -5.812781692E-03
   5.600000000E+00   5.188915953E+01   1.126096232E-01   1.039987933E+01  -4.516256423E-03  -1.256863786E-02  -3.701264484E-03   3.117371456E+02  -1.273235231E+00  -1.000361464E+03   9.892937358E-01  -7.148021455E-04   1.458139811E-01  -5.972957296E-03
   5.700000000E+00   5.159820479E+01   1.138355154E-01   1.034953294E+01  -4.763953915E-03  -1.853015650E-02  -3.308292675E-03   3.169908630E+02  -1.325123868E+00  -1.000857109E+03   9.894055750E-01  -9.752003449E-04   1.450458589E-01  -6.111949334E-03
   5.800000000E+00   5.131548355E+01   1.109768914E-01   1.030044820E+01  -4.851809679E-03  -2.443120157E-02  -2.891320017E-03   3.222165557E+02  -1.377929575E+00  -1.001339580E+03   9.895596152E-01  -1.242775981E-03   1.439840918E-01  -6.229341014E-03
   5.900000000E+00   5.104278245E+01   1.041804769E-01   1.025291070E+01  -4.779769782E-03  -3.023366544E-02  -2.463119609E-03   3.274153814E+02  -1.431815014E+00  -1.001806039E+03   9.897543637E-01  -1.509505093E-03   1.426324333E-01  -6.325340119E-03
   6.000000000E+00   5.078184257E+01   9.370186978E-02   1.020719781E+01  -4.552250197E-03  -3.589851313E-02  -2.036611946E-03   3.325886442E+02  -1.486936699E+00  -1.002253764E+03   9.899878227E-01  -1.767549757E-03   1.409965143E-01  -6.400759916E-03
   6.100000000E+00   5.053434772E+01   7.989597725E-02   1.016357729E+01  -4.177912320E-03  -4.138602342E-02  -1.624500371E-03   3.377377843E+02  -1.543440765E+00  -1.002680157E+03   9.902575124E-01  -2.009470325E-03   1.390838904E-01  -6.456984575E-03
   6.200000000E+00   5.030191253E+01   6.320514678E-02   1.012230612E+01  -3.669334776E-03  -4.665607030E-02  -1.238918804E-03   3.428643671E+02  -1.601459243E+00  -1.003082758E+03   9.905605033E-01  -2.228421157E-03   1.369040773E-01  -6.495920580E-03
   6.300000000E+00   5.008607053E+01   4.414538842E-02   1.008362928E+01  -3.042593925E-03  -5.166844793E-02  -8.911005414E-04   3.479700733E+02  -1.661106899E+00  -1.003459259E+03   9.908934581E-01  -2.418325407E-03   1.344685723E-01  -6.519935902E-03
   6.400000000E+00   4.988826220E+01   2.329110540E-02   1.004777858E+01  -2.316766868E-03  -5.638324238E-02  -5.910762925E-04   3.530566877E+02  -1.722478714E+00  -1.003807508E+03   9.912526820E-01  -2.574025154E-03   1.317908588E-01  -6.531788807E-03
   6.500000000E+00   4.970982311E+01   1.258758531E-03   1.001497164E+01  -1.513371688E-03  -6.076125242E-02  -3.474087377E-04   3.581260883E+02  -1.785648010E+00  -1.004125523E+03   9.916341834E-01  -2.691403935E-03   1.288863929E-01  -6.534548368E-03
   6.600000000E+00   4.955197231E+01  -2.131011147E-02   9.985410814E+00  -6.557602504E-04  -6.476445917E-02  -1.669700014E-04   3.631802351E+02  -1.850665270E+00  -1.004411497E+03   9.920337404E-01  -2.767479501E-03   1.257725661E-01  -6.531508775E-03
   6.700000000E+00   4.941580110E+01  -4.376608977E-02   9.959282181E+00   2.315208849E-04  -6.835654160E-02  -5.476731925E-05   3.682211597E+02  -1.917557616E+00  -1.004663808E+03   9.924469752E-01  -2.800465374E-03   1.224686445E-01  -6.526099599E-03
   6.800000000E+00   4.930226228E+01  -6.546892411E-02   9.936754520E+00   1.123385915E-03  -7.150343081E-02  -1.382100225E-05   3.732509538E+02  -1.986328955E+00  -1.004881023E+03   9.928694331E-01  -2.789800542E-03   1.189956804E-01  -6.521794195E-03
